,mean,median,min,quantile_20,quantile_25,quantile_44,quantile_60,quantile_75,quantile_88,max,std,skew,kurtosis,variation
trend_ema_slow,21.94887917008046,8.30553260452837,0.1553452606581371,0.6538416889536305,0.8561448418364078,6.086378031091862,20.332892829478432,43.54662895934811,61.2507751263743,73.96845941048089,24.154989654988494,0.7689143175029828,-0.9716991324514237,583.4635252326011
trend_adx,21.956999597295567,20.23602372538945,0.0,14.544365551930518,15.500465367776314,18.98100302432557,22.382157298079562,26.459241828027665,32.72375336620931,71.74831116747197,8.878483902448668,1.1009952793208826,1.563161569019932,78.82747640604012
trend_adx_pos,24.474564079510365,23.75165732564364,0.0,17.83483266450438,18.91847958519638,22.619367727245805,25.659611539229147,29.19402292620033,34.00113928194774,56.79783246221965,7.716266479060766,0.4637426321947436,0.16223907110599844,59.54076837587684
trend_adx_neg,21.86240468476585,21.19134829478086,0.0,15.822936949693515,16.849106227757506,20.18962633224962,22.97304218249467,26.12823070179554,30.20218954298484,58.12094246391722,7.171863726244715,0.5692702394173859,0.6378627944367108,51.43562930782473
trend_vortex_ind_pos,0.9842204119448608,0.989029937581832,0.0,0.8528939459337437,0.8808091374056195,0.9643755296974201,1.0289598478219595,1.0933360009462143,1.171165713550611,1.526953078429959,0.1603634008055537,-0.35670402432589143,1.2054853825891434,0.02571642031792266
trend_vortex_ind_neg,0.9258201114429693,0.9278310925077563,0.0,0.7946926560462478,0.821320154598582,0.9047839752816321,0.9666506544650894,1.031767499498933,1.1087516830609894,1.5176454277552187,0.15739492161194607,-0.19644085651116713,0.9706627684862807,0.024773161349230646
trend_vortex_ind_diff,0.058400300501891475,0.06245941052011675,-1.0823518942907653,-0.19999952723415193,-0.14624685675244006,0.014382862781258991,0.14079666596748353,0.26304096951360806,0.4176945645350817,1.0778558450714035,0.3030607010468491,-0.06861462186711141,-0.12593141692376486,0.09184578851900765
trend_trix,0.03673116597899672,0.05014725045198025,-99.18307070986488,-0.09523850314161475,-0.06361955151117865,0.028115847454055556,0.08763777531421105,0.1529053270400614,0.2390097445243334,0.8899712451873826,0.889071057533456,-106.66852185154183,11904.040087779595,0.790447345343658
trend_mass_index,24.99328378950961,24.969773110861162,1.0,24.17917240988417,24.336508911808973,24.829737205857892,25.224466189125756,25.615974223740874,26.121387443002437,29.93208169762073,1.1563580297844864,-3.5022472619102705,62.78073859319506,1.3371638930470593
trend_cci,17.938442879756924,29.87639298119054,-490.2603203527435,-81.54668652450822,-64.38545001322184,8.631306000766553,61.58754397859884,101.00922157668381,139.11888705970657,428.35305382800766,108.29064568868081,-0.2731377774456703,-0.3358860304541569,11726.863943671404
trend_dpo,0.01221524957973636,-0.00091264024376865,-5.820532989501956,-0.1518012046813943,-0.07189956903457653,-0.004107316344976471,0.00477660894393934,0.060216903686523826,0.39879370880126874,21.823053733949163,0.8656818674708225,13.457442048141626,340.5840583869907,0.7494050956677708
trend_kst,9.369515852686764,11.832160035261328,-991.8639670259444,-22.94775247884587,-15.80556529730144,6.1084059554516195,21.166064681901936,37.95443158790262,58.47197623912109,215.61752417507824,62.221229927222865,-6.693361799261224,96.85188421768932,3871.481453656334
trend_kst_sig,9.080187556290825,11.679698517538855,-991.8639670259444,-22.330302766660935,-15.1739509919333,6.257557839134222,21.0342674793543,37.229664281807345,57.46817275139375,210.20083360979703,63.77126909907916,-7.298098369851178,104.06368975802069,4066.7747625071693
trend_kst_diff,0.2893282963959398,0.0328067308274739,-76.85922680660897,-10.87506412020127,-8.700739906405058,-1.8040239313863586,3.201555159274573,8.815992549394988,16.31208261846551,166.38538024939533,15.974439234880965,0.9968049556191534,8.91329697409873,255.1827088689043
trend_ichimoku_conv,21.95705689235246,8.413846339183632,0.1517610875356196,0.6715625982735105,0.8620938092084627,6.110440971515255,20.32870731346262,43.324348224266174,61.17776571565548,74.23600600460867,24.150078454122678,0.7699834178064312,-0.9660493322641144,583.2262893402803
trend_ichimoku_base,21.890960339023838,8.33544548018685,0.1539265938375641,0.6518534798824058,0.8603038778131453,6.094742336453558,20.37498472769103,43.39603566864061,61.36679851058071,73.75456578276186,24.0918471183743,0.7703131603481239,-0.9671696295316243,580.41709757512
trend_ichimoku_a,21.924008615688148,8.374645909685242,0.1545581690969893,0.6613416692933477,0.8569252844846625,6.097962765086965,20.38931034511413,43.52206554062664,61.186402754766476,73.99528589368526,24.11778762674864,0.7695156899462854,-0.9682332704297818,581.6676800089498
trend_ichimoku_b,21.80230732066415,8.164388555385155,0.1555506022200149,0.6457705988417587,0.8553634625860864,6.093905711752777,20.15110375277586,43.39603566864061,61.26471914505124,73.42042722509396,24.021691813749232,0.7719224260825495,-0.9651916102167988,577.041677594747
trend_visual_ichimoku_a,21.855460560101903,8.374645909685242,0.1545581690969893,0.6613416692933477,0.8569252844846625,6.097962765086965,20.38931034511413,43.17248239774247,61.186402754766476,73.99528589368526,24.06873343223848,0.7769444512490327,-0.9511711436500261,579.3039290321543
trend_visual_ichimoku_b,21.72913362597701,8.164388555385155,0.1555506022200149,0.6457705988417587,0.8553634625860864,6.093905711752777,20.15110375277586,43.18334920947696,61.26471914505124,73.42042722509396,23.965633057753625,0.7793554815383049,-0.9475777483284173,574.3515678588934
trend_aroon_up,57.30827067669173,64.0,4.0,20.0,24.0,52.0,76.0,88.0,100.0,100.0,33.62173686671856,-0.23535511020739838,-1.4004340850748977,1130.4211899348616
trend_aroon_down,43.899340187202704,36.0,4.0,8.0,12.0,28.000000000000004,52.0,76.0,92.0,100.0,33.38500757044167,0.34315192684163964,-1.3364380716207955,1114.5587304784478
trend_aroon_ind,13.408930489489029,32.0,-96.0,-52.0,-44.0,20.0,48.0,64.0,80.0,96.0,58.803475428850255,-0.2916698830371389,-1.3828337460831817,3457.848722511396
